,minimum,maximum
3NTD2pp,0.0,0.0
3NTD4pp,-8.454327720085617e-15,0.0
3NTD7pp,0.0,0.0
3NTD9pp,-1.2149251139519965e-13,0.0
3OAR100,0.2621476620856763,0.2621476620858376
3OAR120,0.15133310685395934,0.15133310686172063
2AGPE161tipp,0.0,1.00793215312098e-12
2AGPE180tipp,0.0,6.8784890439953755e-12
2AGPE181tipp,0.0,6.657712015259964e-13
2AGPEAT120,0.0,-2.135808143140975e-11
3OAR121,0.11081455522405437,0.11081455522568306
3OAR140,0.15133310686130702,0.15133310686189627
2AGPEAT140,0.0,-8.135154138383456e-12
ACALDtpp,-4.581922226223269e-12,0.0
2AGPEAT141,0.0,1.3890473385163623e-12
2AGPEAT160,0.0,-2.7374020797668053e-13
3OAR141,0.1108145552240544,0.11081455521890984
3OAR160,0.09401777381677784,0.09401777381764022
2AGPEAT161,0.0,1.152807505975188e-12
ACANTHAT,0.0,0.0
2AGPEAT180,0.0,1.6355419025771188e-12
2AGPEAT181,0.0,1.651268556168019e-13
3OAR161,0.11081455522405456,0.11081455522262916
3OAR180,-4.987167352622889e-16,1.9235156888325866e-13
3OAR181,0.0,1.0646045678548681e-12
3OAR40,0.2621476620856521,0.2621476620860912
2AGPG120tipp,0.0,1.2733562124534503e-12
2AGPG140tipp,0.0,3.6443629709549125e-11
2AGPG141tipp,0.0,1.2010010865061522e-12
2AGPG160tipp,0.0,1.1515857171496643e-12
2AGPG161tipp,0.0,-3.848068951523334e-12
2AGPG180tipp,0.0,-8.616487217138459e-14
3OAR60,0.26214766208567764,0.26214766208578366
3OAR80,0.2621476620856769,0.26214766208692347
3OAS100,0.2621476620856767,0.262147662086076
3OAS120,0.15133310686076445,0.15133310686199192
3OAS121,0.11081455522405442,0.1108145552243227
3OAS140,0.15133310686432816,0.1513331068612895
3OAS141,0.11081455522405435,0.1108145552483755
2AGPG181tipp,0.0,4.6780100722052553e-11
2AGPGAT120,0.0,-4.275851754698687e-13
2AGPGAT140,0.0,7.074363344256567e-12
2AGPGAT141,0.0,2.0330126495267343e-12
ACBIPGT,0.0,0.0
2AGPGAT160,0.0,-8.513800814715749e-11
3OAS160,0.09401777381756206,0.09401777381339606
3OAS161,0.11081455522405452,0.11081455522414607
ACCOAC,1.7777183015560456,1.7777183015629328
3OAS180,-4.828955065851421e-16,-3.3726750145629106e-13
3OAS181,0.0,-8.609495049173064e-12
ACCOAL,0.0,0.0
AGM4PA,0.0,3.279957105860209e-13
3OAS60,0.2621476620856298,0.2621476620857118
ACGAL1PPpp,0.0,0.0
3OAS80,0.2621476620856769,0.26214766208573326
AGM4PApp,0.0,4.518923182379005e-12
AGM4PCP,0.0,-1.1898480326811606e-13
ACGAL1Ptex,0.0,0.0
AGM4PCPpp,0.0,2.102972785370311e-13
AGM4PH,0.0,7.440605703325759e-14
AGM4Pt2pp,0.0,1.355980572221958e-13
3PEPTabcpp,-2.278917409465527e-14,6.53933054670209e-13
3PEPTtex,-4.159324002307312e-14,0.0
3UMPtex,0.0,0.0
42A12BOOXpp,0.0,0.0
4HOXPACDtex,0.0,0.0
AGMH,-1.2640224926402542e-13,3.4053768432998465e-13
AGMHE,0.0,-1.0937410693700431e-12
AGMT,0.0,4.44764987254041e-13
AGMt2pp,-4.6333220487682783e-14,1.5444343731738502e-14
AGMtex,-1.2937534345488945e-13,0.0
AGPAT120,0.0,6.0894972310391615e-12
4HTHRS,0.0,0.0
4PCP,0.0,-1.2919321968885524e-11
AGPAT140,0.0,2.2660441227974957e-13
ACGALtex,0.0,0.0
4PCPpp,0.0,3.8494077660945514e-13
4PEPTabcpp,0.0,4.162734854897452e-13
4PEPTtex,-2.383369581003649e-14,0.0
ACGAM1PPpp,0.0,0.0
5DGLCNR,-2.4281235402419904e-13,0.0
5DGLCNt2rpp,-7.369986119201017e-14,0.0
ACGAM1Ptex,-8.146648690330206e-14,0.0
5DGLCNtex,-1.5009546324167982e-13,0.0
ACGAMK,-2.766667610506654e-14,3.6161618406484806e-13
5DOAN,0.0,-5.967689132867906e-14
A5PISO,0.02865766652184359,0.028657666521859092
AGPAT141,0.0,9.780231897534588e-13
ACGAMT,0.0,7.513146621934733e-15
AGPAT160,0.04700888690896761,0.047008886909351656
AACPS1,0.0,1.587142404595739e-11
AACPS2,0.0,-1.785341041407532e-10
AACPS3,0.0,1.7944485163033072e-12
AGPAT161,0.05540727761202717,0.05540727761273802
ACGAptspp,0.0,0.0
AGPAT180,0.0,-1.986980534868238e-12
AACPS4,0.0,4.078702761556244e-11
AACPS5,0.0,4.3554299282844944e-12
AACPS6,0.0,3.1382756263469094e-13
AACPS7,0.0,2.3644197465101675e-11
AGPAT181,0.0,4.786300879225846e-13
AGPR,-0.21791613771874882,-0.21791613771623033
AGt3,0.0,0.0
AHCYSNS,0.0003285686187337344,0.00032856860723789533
AICART,0.3988830398437095,0.398883039843852
AACPS8,0.0,2.1341594624540987e-12
AACPS9,3.9114948845738636e-19,2.1974507975700533e-12
ACGAtex,0.0,0.0
AACTOOR,0.0,7.333531076337261e-14
AADDGT,0.0,5.443477828090085e-14
AAMYL,0.0,0.0
AIRC2,0.32908799289559176,0.3290879928958938
AIRC3,-0.32908799289587587,-0.32908799289565804
AKGDH,3.728625725036344,3.728625725055284
AKGt2rpp,-1.8033287841284693e-13,0.0
AAMYLpp,0.0,0.0
ACGK,0.2179161377162297,0.21791613771581164
AB6PGH,0.0,0.0
ABTA,0.0,7.496722918350751e-13
AKGtex,-1.1210540292230278e-13,0.0
ALAALAD,0.0,2.3536536076719946e-12
ABUTD,0.0,-1.6062659597706574e-10
ACGS,0.21791613771622972,0.21791613771994597
ABUTt2pp,0.0,0.0
ABUTtex,-1.521797676411743e-12,0.0
ALAALAabcpp,-6.619077076279213e-14,7.152840608412897e-13
ALAALAr,0.02046555208166619,0.020465552085317026
ACACCT,0.0,0.0
ALAALAtex,-9.542222218197599e-14,0.0
ACACT1r,3.623363136864673e-14,0.0
ACHBS,0.21401162274024602,0.2140116227402638
ACACt2pp,0.0,0.0
ACACtex,-8.718393924009664e-17,0.0
ACALD,-3.475319719103133e-12,2.014162789707682e-12
AMPtex,0.0,0.0
ALAGLUE,0.0,4.042945910269843e-13
ALAR,0.03069832812249924,0.030698328123618564
ALATA_D2,0.0,1.0902215159336526e-12
ALATA_L,-0.7412147055177291,-0.4294428681896845
ALATA_L2,0.0,2.3590160976446483e-11
ALATRS,0.0,0.0
ANHGMtex,2.8486195182873962e-15,0.0
ACKr,0.0,0.4280247188143695
ANHMK,0.0,-2.85902666090264e-12
ANPRT,0.04187408136507949,0.04187408136377975
ANS,0.04187408136507942,0.04187408136511662
ALAabcpp,0.0,4.602728651793225e-12
ALAt2pp_copy1,0.0,0.0
ALAt4pp,0.0,999999.0000247483
AOBUTDs,0.0,-1.543684307038125e-11
ACLS,0.6440799500270262,0.6440799500271818
ALAtex,-2.8938774905999335e-13,0.0
ACM6PH,-1.5526887745053575e-16,2.668032607984538e-13
ALCD19,-3.9633862318354254e-13,0.0
ALCD2x,-9.836443856681439e-14,0.0
ACMAMUT,0.0,6.9525475482756536e-15
ALDD19xr,0.0,0.0
AOXSr,0.0,0.0
AP4AH,0.0,0.0
ALDD2x,0.0,3.0614365294417292e-12
ACMANAptspp,0.0,0.0
ALDD2y,0.0,2.4732948947784424e-12
AP5AH,0.0,0.0
APRAUR,0.00032856861873373374,0.00032856861873376605
ALDD3y,0.0,0.0
ARAI,0.0,0.0
