,minimum,maximum
ANHMK,0.0,-1.557703764298221e-13
ANPRT,0.005754997966045603,0.0057549979659578185
ANS,0.005754997966020421,0.005754997966168231
ALAabcpp,0.0,8.687969657094097e-13
ALAt2pp_copy1,0.0,0.0
ALAt4pp,0.0,999999.0000046631
AOBUTDs,0.0,2.181557866446553e-12
ACLS,0.08851964464781432,0.08851964464615278
ALAtex,-5.743318800341078e-14,0.0
ACM6PH,-2.9515325376187326e-15,-2.666414853626933e-13
ALCD19,4.608251197225058e-14,0.0
ALCD2x,1.804153993686197e-14,0.0
ACMAMUT,0.0,-8.542285861816554e-15
ALDD19xr,0.0,0.0
AOXSr,0.0,0.0
AP4AH,0.0,0.0
ALDD2x,0.0,1.056803859720266e-12
ACMANAptspp,0.0,0.0
ALDD2y,0.0,-2.9436915310414287e-12
AP5AH,0.0,0.0
APRAUR,4.515709171092199e-05,4.515709170973054e-05
ALDD3y,0.0,0.0
ARAI,-4.93346063139999e-14,0.0
ALDD4,0.0,0.0
ACMANAtex,0.0,0.0
ALLK,7.026984964515364e-14,0.0
ARBTNR1,0.0,1.5499584837502666e-13
ARBTNR2,0.0,-1.8709429842237108e-13
ARBTNR3,0.0,-3.393047514186318e-14
ARBTNabcpp,0.0,-4.032869038507341e-13
ARBTNexs,0.0,-7.198873913014589e-13
ALLPI,0.0,0.0
ALLTAMH,0.0,9.456250284736403e-15
ALLTN,0.0,-1.2296793231440866e-14
ALLTNt2rpp,-4.3154497074598675e-15,0.0
ARBTNtex,0.0,-3.585974053095587e-13
ALLTNtex,2.8925176417523163e-14,0.0
ACMUMptspp,0.0,0.0
ALLULPE,0.0,0.0
ARBTNtonex,0.0,1.084751543146564e-13
ARBTNtpp,0.0,-6.259263704331396e-13
ARBabcpp,0.0,6.336700035063133e-14
ACMUMtex,0.0,0.0
ARBt2rpp,-1.4706053329202465e-13,-6.690902806385693e-12
ALLabcpp,0.0,0.0
ALLtex,0.0,0.0
ARBt3ipp,0.0,1.3622328262675743e-12
ARBtex,0.0,0.0
ALPATE160pp,0.0,0.0
ACNAMt2pp,0.0,0.0
ALPATG160pp,0.0,0.0
ACNAMtex,6.247420171830049e-32,0.0
ALR2,0.0,1.5799775912663082e-13
ALR4x,0.0,7.761872150338013e-14
ACNML,0.0,0.0
ALTRH,0.0,0.0
AM3PA,0.0,-1.4712090682143905e-13
ACOAD1f,4.2448429684137325e-18,-4.286373108896736e-14
AM4PA,0.0,-1.0550211079881655e-13
AM4PCP,0.0,-1.955754886067645e-14
ARGAGMt7pp,2.449226812115904e-13,-1.5064204154934325e-14
ARGDC,0.0,-4.202603218130246e-13
AMALT1,0.0,0.0
ACOAD2f,-7.175763366872707e-48,-8.09134095157936e-15
AMALT2,0.0,0.0
AMALT3,0.0,0.0
AMALT4,0.0,0.0
AMANAPEr,0.0,0.0
AMANK,0.0,0.0
AMAOTr,0.0,0.0
ARGDCpp,0.0,-1.1853400898287009e-13
ARGORNt7pp,0.0,-2.1865695445707776e-12
ARGSL,0.029949479210978073,0.02994947921089004
ARGSS,0.02994947921101328,0.029949479210440354
ARGTRS,0.0,0.0
ARGabcpp,0.0,-1.9941514246486057e-12
ARGt3pp,0.0,-1.9619276575731452e-12
ARGtex,-8.47871327307031e-14,0.0
ASAD,-0.10824570003799455,-0.10824570004385912
AMMQLT8,0.0,2.1397011340541927e-15
AMPMS2,2.2578545855487665e-05,2.25785458748552e-05
AMPN,0.0,-1.8455158102232147e-13
AMPTASECG,2.725727730630004e-14,-6.921799263207312e-14
AMPTASEPG,0.0,0.0
ASCBPL,0.0,0.0
ASCBptspp,0.0,0.0
ASCBtex,0.0,0.0
ACOAD3f,0.0,2.8488499215342126e-13
ASNN,0.0,-8.45109128976643e-13
ASNNpp,0.0,1.2521383303963583e-11
ASNS1,0.0,1.1796542773034575e-12
ACOAD4f,0.0,9.747264607360108e-14
ASNS2,0.024411154288153925,0.024411154285894014
ASNTRS,0.0,0.0
ASNabcpp,0.0,-7.346873669761096e-13
BSORx,0.0,0.0
BSORy,0.0,0.0
ASNt2rpp,1.874767542602302e-12,0.0
ACOAD5f,0.0,-1.3551275473685045e-13
ASNtex,2.2303348679996764e-13,0.0
ASO3t8pp,0.0,0.0
BTS4,0.0,0.0
BUTCT,0.0,0.0
BUTSO3abcpp,0.0,0.0
BUTSO3tex,0.0,0.0
BUTt2rpp,0.0,0.0
ASO3tex,0.0,0.0
ASP1DC,5.8319472703324314e-05,5.8319472703015126e-05
ASPCT,0.03349218467959839,0.033492184679708534
ASPK,0.10824570004403412,0.10824570004603425
ASPO3,0.0,0.00023064541461055184
ASPO4,0.0,0.0
BUTtex,1.2958928693536463e-14,0.0
ASPO5,0.0,0.0
ACOAD6f,7.594870168645239e-13,-3.260918701467851e-14
ASPO6,0.0,-4.4950095575617994e-13
ASPT,0.0,1.8316923478473117e-12
